QUOTE,REMOVE
originary source of settler state power,X
"It's my hope that the federal government, working with the various (tribal) nations who are affected by the pipeline, and working with the company involved, can come to a reasonable resolution, one that honors the need for energy but that does so in ways that protect the environment that God has given all of us and that respects sacred burial grounds of the native, indigenous people that live there.",
"So everybody knows we were going to our vehicle, which they had all surrounded and waiting for me with giant guns and a giant truck behind them just so they could arrest me. I hope you're watching mainstream media.... it's because I'm well known. It's because I have 40,000 people watching.",
"irreplaceable, unique, historic, sacred",
Tribal peoples are outraged,
cultural preservation and spiritual resistance,
"Citing eminent domain,[22] the Native American protesters have declared that the land rightly belongs to them under the Treaty of Fort Laramie (1851), which established the Great Sioux Reservation",
...also known by hashtags such as NoDAPL,
...commonly abbreviated as NoDAPL,
...commonly abbreviated as NoDAPL in media coverage,
almost identical,
the addition of land in Iowa,
other side's,
biased,
"We are disturbed that Dane County is contributing to this disproportionate law enforcement response, apparently justified by misrepresentations about the nature and actions of those gathered to express opposition to the Dakota Access Pipeline... This deployment is the first time in anyone's memory that the County has entered into a dispute in another state many miles from Wisconsin. This is a troublesome precedent. We urge you to reverse this action immediately.",
Ongoing:,X
ongoing,X
reliable enough,X
fast track,X
protest,X
"made it virtually impossible to conduct a good-faith, meaningful negotiation on emergency planning.",
did not specify locations for the sites ... (and) did not respond to a request for locations or other relevant information about these sites.,
worst-case scenario,
optimistic assumptions.,
"Clean Water Campaign,",
No Dakota Access Pipeline,
"If we don't stand now, when will we?",
"We have the same goals,",
We don't agree on whether or not the water protectors should be on the ground.,
will peacefully ask those to vacate.,
"We ask that everyone keep public safety their top priority at this time,",
"The purpose of this is to close the land to ensure no one gets harmed,",
"One of the biggest environmental threats to the Missouri is the camp itself,",
"They're talking like it will be a flood that will wipe out all of existence,",
most of it won't be that bad.,
"water protectors,",
"We'll make it difficult for them to handcuff us, but there will be no forceful opposition,",
"The ideal situation is zero arrests are made because everybody figures out that it's not a place where you want to be when the flood starts to happen,",
"Since last summer, the question of whether Dakota Access should route its oil pipeline near the reservations of American Indian tribes has engendered substantial debate both on the ground in North and South Dakota and here in Washington.",
"Upon assuming office, President Trump directed an expedited approval process, and on February 8, the Army Corps of Engineers issued the easement that permitted Dakota Access to drill under the lake. Fearing that the presence of oil in the pipeline under Lake Oahe will cause irreparable harm to its members' religious exercise, Cheyenne River responded with a Motion for Preliminary Injunction, in which it argues that the easement's grant violates the Religious Freedom Restoration Act and requests that the Court enjoin the effect of the easement and thus the flow of oil, which is expected to commence in the next week or two.",
Oil should never be allowed to flow through this pipeline until the legal process has played out in the courts.,
"treating the original inhabitants of this land as though we are less than human, as though our lives and lands are something to be ignored and discarded in the never-ending quest for profit.",
"no historic properties will be subject to effect,",
Judge dismisses DAPL case against BankTrack in full,
"Divest, invest, protect: Indigenous women lead divestment campaign,",
Judge won't stop construction of Dakota Access pipeline,
Water protectors,
allow cookies,X
Accept,X
trespassing.,X
Hu,X
spiritual path.,
"Archaeologists—they don't see these,",
The [archaeological] firm that came through here walked over these. They do not have a connection that we have to our spiritual walk of life.,
are rooted in that community's history,
are important in maintaining the continuing cultural identity of the community.,
shrieking,
significant new use rule,
"important, unprecedented action on asbestos,",
USDA Organic,
We are not protestors. We are life protectors,
"terms and conditions to be negotiated”. On February 7, 2017, Trump authorized the Army Corps of Engineers to proceed, ending its environmental impact assessment and the associated public comment period. As a form of mobilization against the DAPL, a divestment movement campaign is taking place around the world.  The campaign #DeFundDAPL invites people to withdrawal their money for the list of banks  which are funding the Dakota Access Pipeline in a direct or indirect way. After the Trump decision, in a symbolic gesture, the protesters set fire to their own camp. “People have said their last prayers, and offered cedar to the sacred fire and are also burning these structures we have ceremonially built, so they must be ceremonially removed,” Vanessa Castle of the Lower Elwha Klallam tribe.  Treaty of Fort Laramie of April 29, 1868 Environmental assessment: Dakota Access Pipeline Project, crossings of flowage easements and federal lands[click to view] Divesting in DAPL in Favor of American Indian-Owned Banks[click to view] Trump backs Keystone and Dakota Access Pipelines[click to view] We´re missing 90 percent of the Dakota Access Pipeline Story[click to view] Push to Evict Remaining NoDAPL Water Protectors Intensifies[click to view] JUST IN: The secretary of the Army Corps of Engineers told Standing Rock Sioux Chairman Dave Archambault II that the current route for the controversial Dakota Access pipeline will be denied.[click to view] Army halts construction of DAP[click to view] ‘Water Is Life’: A Look Inside the Dakota Access Pipeline Protesters’ Camp[click to view] Dakota Access Pipeline: US Army Corps of Engineers shuts down protesters[click to view] Black Lives Matter Delegation Returns from Standing Rock Camp[click to view] ‘Divestment is our goal’: Seattle City Council to vote on pulling $3 billion from Wells Fargo over Dakota Access Pipeline[click to view] Army Corps ruling is a big win for foes of Dakota Access Pipeline[click to view] Veterans beg forgiveness at Standing Rock:[click to view] Breaking: DAPL Construction on Hold Pending Further Review and Tribal Consultation[click to view] People at Standing Rock are still being arrested, and the Dakota Access Pipeline could be built under Trump[click to view] Naomi Klein´s video: ",X
"To put that pipeline in the ground would be irreparable harm for us in our culture,",
"The mere presence of the oil in the pipeline renders the water spiritually impure,",
comes from when the spigots are turned on and the oil flows through the pipeline.,
"in peaceful prayer and in dignity as we assert our rights to protect our environment, our economy and our sovereignty.",
"We're not in a position where we can agree to any kind of stopping of the pipeline,",
Jeb,X
Jeb,X
"exceedingly tardy,",X
 and a ,X
"We're extremely disappointed with today's ruling, [...] but we are not surprised,",
"We know this fight is far from over. Tribes will continue to pursue legal remedies through the courts, seek an injunction against the pipeline and push for the full Environmental Impact Statement to be completed.",
"The law says you need to do a full environmental review for actions that have significant impacts or carry significant risks,",
"This is one of the largest, longest, underground river bores in the world for a crude oil pipeline, in a waterway that serves 17 million people in addition to the Standing Rock tribe. The government made a mistake by reversing itself and issuing this decision [...] and we're going to take that to the judge.",
"The Trump administration may have announced termination of the [Environmental Impact Statement] but that will not go unchallenged,",
"This administration has expressed utter and complete disregard for not only our treaty and water rights, but the environment as a whole.",
"Trump thinks he's getting what he wants, but the people who've been emboldened by the worldwide fight against the Dakota Access pipeline won't quietly back away,",
"Indigenous leaders, landowners and climate activists are ready to challenge this decision in the courts and in the streets - as we have each time the fossil fuel industry steamrolls over human rights for their own profits.",
"We're here to make sure the water protectors are supported, well-equipped and protected,",
"Everybody at the camp is still here in peaceful protest and prayer ceremony. But the law enforcement has become increasingly more aggressive, increasingly more militarized. There are people who are being arrested and brutalized for non-violently demonstrating.",
"What we are dealing with is Big Oil in our government essentially choosing the opportunity for a few people to profit over the sustainability of our environment and the health of literally millions and millions of people,",
"Their whole philosophy for dealing with this situation - and anyone that stands in the way of them and their profits - is based on things like intimidation, instigation and violence. But that's the power of people protest - they don't know what to do when we refuse to give up nonviolence as our main approach.",
directs agencies to expedite reviews and approvals for the remaining portions of this pipeline,
"In this regard, the right to prior and informed consent should always prevail,",
"Only then is it possible to guarantee peaceful cooperation between governing authorities and indigenous peoples, overcoming confrontation and conflict.",
"For governments, this means recognizing that indigenous communities are a part of the population to be appreciated and consulted, and whose full participation should be promoted at the local and national level,",
"To put that pipeline in the ground would be irreparable harm for us in our culture,",
"The mere presence of the oil in the pipeline renders the water spiritually impure,",
comes from when the spigots are turned on and the oil flows through the pipeline.,
"in peaceful prayer and in dignity as we assert our rights to protect our environment, our economy and our sovereignty.",
"We're not in a position where we can agree to any kind of stopping of the pipeline,",
"exceedingly tardy,",
"We call upon all member states, to condemn the destruction of our sacred places and to support our nation’s efforts to ensure that our sovereign rights are respected. We ask that you call upon all parties to stop the construction of the Dakota Access pipeline and to protect the environment, our nation’s future, our culture and our way of life.",
"The opportunity to build awareness started at Standing Rock and it's spreading out to other areas of the United States,",
"A big part of our message was not just to nationalize the fight against Dakota Access, but to highlight regional issues that people are facing,",
To use our momentum.,
"I really believe this momentum is going to stay alive,",
"Standing Rock was the focal point, was the root of this movement. If we learned anything from Standing Rock, it's the power of unity. It wasn't one (tribal) nation -- it was more than 400.",
"Social media makes it more difficult to shut off the camera,",
"In some way, they're their own reporters and they don't need the networks to report it. Social media connects the tribe; it now connects all of these separate groups.",
people against pipelines,
"The broader movement to stop resource extraction has taken inspiration from (Dakota Access),",
I think we can expect to see this trend continue as more and more communities feel that their safety and health is under threat due to the president's support of the fossil fuel industry over marginalized communities.,
"they want to take our footprints off the land, so they could take us off the land",
water protectors,
billy clubs,
chanupas,X
"Seven young horse riders, involved in the clash between law enforcement and the “water protectors”, stated that they and their horses had been shot at in very close range with either bean bag guns or rubber bullets.  One rider explained he was shot three times with a bean bag and when his horse was shot he was knocked off his horse.  They were situated between protestors and police officers to protect those who were praying.  All the riders were arrested and their property as well as their horses and riding gear confiscated.  Three of the horses, including gear, have not yet been returned.  One elder woman stated that she was holding her sacred bundle skyward in prayer and was suddenly forced to the ground, crying out as she watched her sacred bundle fall to the ground. Those arrested were strip searched, many of them women who described this as humiliating in the extreme.  Those arrested and detained were physically marked with numbers on their arms which they describe as being akin to the branding of Jewish persons in Nazi Germany.  Many described how they were denied food and proper medical attention, including several who are diabetic.  They were placed in detention in what they described to me as “dog kennels” or cages located inside the garage of the Morton County jail on a bare concrete floor.  These “temporary holding cells” were said to hold up to 25 persons each.  Despite the cold concrete flooring neither cots nor blankets were provided.  After being processed at this site many were then sent to other prisons, some over 4 hours away, for further processing.Those arrested were not told why they were being arrested nor the charges they would face.  They only learned of the charges after they were arraigned and released.  All individuals arrested were charged with either misdemeanor and/or felony offences including maintaining a public nuisance; trespass on the private property of the pipeline builder; engaging in a riot; criminal conspiracy; and endangerment by fire.  Upon release, with bond payments in the form of cash as high as $1,500.00, many were left on their own to return to their respective camps.  Of course, many do not have such cash on hand.  Fortunately, many such costs have been paid through a fund set by the Standing Rock Sioux legal team for this purpose.There is clearly high tension and palpable anger in the main camp and with the leadership because of the conduct of the arrests and the subsequent jailing.  Many, including Indigenous spiritual leaders, described to me the extensive psychological trauma experienced by those who were praying and singing and those in a sweat lodge located at the site.  Legal counsel and human rights observers are documenting, through their interviews with the arrested protestors, the type, level and proportionality of response by law enforcement officers.  As well as journalists and many on site have been developing extensive photo and video records.Regarding the many stories of violation of civil and political rights, the arrest and criminalization of the over 141 individuals engaged in the protest of the construction of the Dakota Access Pipeline raise serious human rights issues.  I expect the very significant and numerous details surrounding these matters will form a significant component in both the prosecution and defense of those charged.  I understand these cases will be before the courts as early as mid-November and early December 2016.The alarming acts that criminalize Indigenous peoples in their attempts to safeguard their human rights and fundamental freedoms that is unfolding in North Dakota should prompt the United States government into action.  Indeed, this is one of the most alarming facts about the situation in North Dakota:  the total lack of presence by the United States government. Insecurity intensifiesAs noted above, the senior law enforcement officials that I met with were directly involved in the planning and execution of the arrests of protestors at the north camp on October 27th.  The incident commander advised that Americans have the right to protest but overall their role was to ",X
".  They stated that they originally intended to move in on Wednesday, but they delayed until Thursday to give protestors another day to move from the north camp.Their narrative about the events of the day is decidedly different from that of many others.  They stated that they had been dealing with numerous individuals from the camps for the past 3 months and had a variety of minor and ongoing confrontations with various protestors, including some that they described as ",
 and further stated that no one should ,
".They stated that there has been a total of some 412 arrests, 9% of whom were from Standing Rock, including Standing Rock Sioux Tribal Chairman Dave Archambault.  They spoke about their well-developed and executed plans in dealing with those protestors who were blocking a public road and/or trespassing on private property, without any serious incidents or deaths. They stated that their plan included a ",
 and that they had ,
" slowly.  They indicated that their specific action on October 27th was triggered by purported unauthorized obstruction of a public highway and of criminal trespass onto private property -- that of the pipeline company – by protesters. Per these officers, the protestors were told to leave the obstruction on the highway and to end their trespass onto private property.  Those who left were not arrested. Those who remained were arrested and transferred to the Morton County jail.  As the 42 beds in the jail were in use, the arrested protestors were lodged in ",
" recently built by a fencing company.  I was further told that those arrested were treated with respect, fed, clothed and their medical needs attended to.  Law enforcement officials denied allegations of human rights violations or abuses.Regardless, this incident caused an immediate and dramatic increase in tension and a new level of state betrayal and rising hostilities towards law enforcement officials.  It is my hope that those who have shown restraint and a modicum of respect for others continue to deal fairly and honorably with the Standing Rock Sioux tribal members and their political leadership.  It must be understood that merely sending in police and security officials is absolutely no way to address the comprehensive and significant concerns raised by the Standing Rock Sioux. In summary, this is understandably very complex with numerous legal and political matters, with two primary but very different narratives.  However I cannot, nor will I, minimize or disregard in any the very compelling stories of those leaders, elders, cultural and spiritual leaders, supporters from many other Indigenous Nations -the ",
water protectors,
the black snake.,
"Awake: A Dream From Standing Rock,",X
"The ambition of the film is really to get people to understand the issue and feel it in a way that's emotional,",
"It's really about pushing the movement forward. We also want to say, you guys did something unbelievable, and this is one way of giving a debt of gratitude,",
"The film initiates as a dream, as if the last 500 years of civilization didn't happen,",
"It was an amazing place, and it ran on very different principles than our society - those of sharing mutual respect and non violence,",
Divergent,X
"Our camp is gone, but our spirit is not broken,",
Will you wake up and join us?,
"Honor Our Treaties,",X
"Water is Life,",X
Stand With Standing Rock,X
Indigenous Women Rise.,X
Indigenous Women Rise,X
explore alternate routes,
"Although we have had continuing discussion and exchanges of new information with the Standing Rock Sioux and Dakota Access, it's clear that there's more work to do,",
The best way to complete that work responsibly and expeditiously is to explore alternate routes for the pipeline crossing.,
thoughtful approach ... ensures that there will be an in-depth evaluation of alternative routes for the pipeline and a closer look at potential impacts,
"underscores that tribal rights reserved in treaties and federal law, as well as Nation-to-Nation consultation with tribal leaders, are essential components of the analysis to be undertaken in the environmental impact statement going forward.",
"We have been asked by the elders not to do direct action,",
"If we come forward, they will attack us,",
"If you see someone who needs help, help them out.",
"The question was asked if we would consider pulling back from the Backwater Bridge,",
and the answer is yes! We want this to de-escalate.,
"will result in their arrest,",
"People are fighting for something, and I thought they could use my help,",
I'll see you when I get back.,
"This is not just a native issue,",
This is an issue for everyone.,
"We know in Flint that water is in dire need,",
"In North Dakota, they're trying to force pipes on people. We're trying to get pipes in Flint for safe water.",
about right and wrong and peace and love.,
"I hoped even a lawless President wouldn't continue to ignore the rule of law. However, it was becoming increasingly clear he was punting this issue down the road,",
Today's unfortunate decision sends a very chilling signal to others who want to build infrastructure in this country.,
d'utilisation équitable,X
l'utilisation équitable,X
"It's pretty big, that's the first thing that you notice … You turn off the road into the camp and you go through this sort of tunnel of flags.",
"There's tents, teepees, Winnebegos, trucks, cars, horses. Some people have brought in horse trailers and mobile fencing and made little horse corrals.",
"It always smells like sage or smoke, people are always cooking or smudging.",
"Like, you have people bringing their families there. They've literally set up a school because they have so many families living there long-term with kids.",
It's hard to refer to the whole thing in general as a protest or a riot.,
"They're kind of dealing with ‘American journalism, we have the right to know,’ versus the cultural sensitivity of the people who are there, and the messages they would like to get across. It's very intricate.",
"People at the camps are saying, they aren't necessarily relying on mainstream media to learn about the event. Almost everyone we talked to heard about it initially on social media and they tend to trust what they see on social media more.",
"I seen people camping across the river on the river fronts, and people swimming. I seen people playing basketball, volleyball, handgame, and people having meetings.",
"Ever since being there it's just harmony, you know, being around your own people or even other people. Cultural exchange, networking, just there for one fight.",
"Today's announcement will allow for the final step, which is granting of the easement,",
"Once that is done, we will have completed all the tasks in the Presidential Memorandum of January 24, 2017.",
"The Trump Administration has decided that profits for the corporate elite are more important than sovereign rights of Indigenous communities, clean water, the climate, and the voices of millions of people worldwide who have called for a halt on the Dakota Access Pipeline,",
"The granting of this easement goes against protocol, it goes against legal process, it disregards more than 100,000 comments already submitted as part of the not-yet-completed environmental review process — all for the sake of Donald Trump's billionaire big oil cronies,",
"And, it goes against the treaty rights of the entire Seven Councils Fires of the Sioux Nations.",
"Americans have come together in support of the tribe asking for a fair, balanced and lawful pipeline process,",
The Trump administration — yet again — is poised to set a precedent that defies the law and the will of Americans and our allies around the world.,
"We call on the Native nations of the United States to stand together, unite and fight back,",
fully intends to fight,
"While the Federal government chooses to disregard the laws made to govern themselves, we will respect those laws and continue to legally resist the destruction of homes, people, and culture,",
just another reminder that history has a tendency to repeat itself,
"Our people are continuously brushed aside for an industry advancement that will only line the pockets of the top 1 percent, ",
"All the while, this new administration continues to violate our treaty rights and the right to clean water for everyone.",
"Before the Women's March and before thousands of people protested at airports, the Standing Rock Sioux and their allies were camping in the freezing cold to defend their rights,",
The Obama administration heard those concerns and agreed to take a step back. This administration is ignoring them.,
commitment to supporting domestic energy development.,
"Today's action sends a strong positive signal to those individuals and companies seeking to invest in the U.S. and will help strengthen our economy and create jobs,",
"When that analysis takes place, this pipeline will not continue.",
" The statement echoed respect for peaceful protest as the pipeline construction awaits review and approval. react-text: 164 According to  /react-text The Wall Street Journal react-text: 167 , the Sioux tribe's lawsuit to appeal the approval of the pipeline project on Native American land is moving forward. “The Standing Rock Sioux Tribe is not backing down from this fight,”  /react-text says Dave Archambault II react-text: 169 , chairman of the Standing Rock Sioux Tribe. “We are guided by prayer, and we will continue to fight for our people. We will not rest until our lands, people, waters and sacred places are permanently protected from this destructive pipeline.” /react-text Broader Implications of the Pipeline react-text: 173 The controversy raised has broader implications about how the American government treats Native American people and grants permission to their land. “This permitting process for these major pipelines is too simple. It’s just a rubber stamp,”  /react-text says Archambault react-text: 175 . “We never felt we had a say.” According to  /react-text The Wall Street Journal react-text: 178 , the tribe believes government agencies should follow a stricter process requiring full environmental impact studies before beginning construction. The U.S. Department of Justice and Army Corps  /react-text said in a statement on Monday react-text: 180 , ",X
"I started seeing posts and photos of protest about the Dakota Access Pipeline (DAPL) in late August. I was surprised to learn the Dakota pipeline’s proposed route is only a few miles shorter than the more well-known Keystone XL pipeline but was receiving little media coverage.  Some people called the lack of coverage a media blackout.  I saw the conversation was larger than the pipeline itself because the issue was bringing Native people together in solidarity. I wanted to do my part to share current and relevant information about this important human rights issue that affects everyone, not just Native Americans.",X
"They were preparing to throw pipe bombs at our line, M80s, fireworks, things of that nature to disrupt us,",
safety concerns,
all of the above,
"have created and will continue to create a risk of bodily injury and harm to Dakota Access employees and contractors, as well as to law enforcement personnel and other individuals at the construction site.",
the most toxic place in America.,
